id;rut;amount;bank_type;date
1;Granito Sabroso;generación enfoque action-items;Chile;2022-01-26T02:38:46
2;a;AI cliente;Chile;2022-01-25T22:21:02
3;Granito;robust;Banco;2022-01-26T14:49:04
4;Seguridada cross-platform;Refinado;Santander;2022-01-26T15:43:46
5;navigating;deposit;Banco;2022-01-26T08:23:51
6;Borders RAM;protocol;Chile;2022-01-26T16:49:11
7;Multi hard;de La Extremadura;Banco;2022-01-26T11:05:41
8;primary;digital synergistic;Santander;2022-01-26T04:53:26
9;Relacciones;flexibilidad Loan;Chile;2022-01-26T19:18:50
10;Guapa Conjunto sensible;Rústico;Banco;2022-01-26T07:02:28
