id;rut;initial_investment;total_amount;product_type;date
1;Acero;Asistente;cross-platform Director;Larrain;2022-01-26T12:49:27
2;Chilean reboot Inversor;Sección generación deposit;Sopa withdrawal;Larrain;2022-01-26T04:18:00
3;partnerships Operaciones;transmitting Montserrat Bedfordshire;Malagasy de;Banco;2022-01-26T14:10:30
4;Pequeño digital Galicia;Negro Práctico;Tácticas Dinánmico Música;Cuenta;2022-01-26T07:45:55
5;Implementación Genérico;hibrida Calleja;Patatas Configurable Solar;FFMM;2022-01-26T19:04:48
6;sistemática;Queso Renminbi;Consultor online;Cuenta;2022-01-26T13:58:07
7;Seguro Fantástico Sorprendente;AGP Violeta;navigate brand up;Deposito;2022-01-26T11:19:43
8;Ergonómico Ergonómico;Artesanal;relationships;Cuenta;2022-01-26T17:19:39
9;Producto;Zimbabwe Electrónica Balboa;transmit Fantástico IB;Vial;2022-01-26T07:51:06
10;Ejecutivo;Verde;Nacional;Cuenta;2022-01-26T18:33:29
